Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Enquadrada pelo Gestor da Aplicação;3924.4.0702/2019;Estudos e Projetos;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Estudos e Projetos do Prefeitura Municipal de Cascavel;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Enquadrada pelo Gestor da Aplicação;4052.23.1007/2019;Qualificação Viária;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Qualificação Viária do Prefeitura Municipal de Limeira;R$ 2.233.325,32;R$ 42.433.181,00;R$ 44.666.506,32
Enquadrada pelo Gestor da Aplicação;3851.4.2111/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Estudos e Projetos do Prefeitura Municipal de Mogi das Cruzes;R$ 25.000,00;R$ 475.000,00;R$ 500.000,00
Selecionada pelo gestor da aplicação;3960.23.0104/2019;Qualificação Viária;PA;Belém;Caixa Econômica Federal;Prefeitura Municipal de Belém;Qualificação Viária do Prefeitura Municipal de Belém;R$ 7.367.519,74;R$ 139.982.875,03;R$ 147.350.394,77
Enquadrada pelo Gestor da Aplicação;4056.3.1007/2019;Transporte Não Motorizado;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Transporte Não Motorizado do Prefeitura Municipal de Limeira;R$ 266.405,11;R$ 5.061.696,97;R$ 5.328.102,08
Selecionada pelo gestor da aplicação;1470.5.0201/2018;Plano de Mobilidade Urbana;PE;Jaboatão dos Guararapes;Caixa Econômica Federal;Prefeitura Municipal de Jaboatão dos Guararapes;Plano de Mobilidade Urbana do Prefeitura Municipal de Jaboatão dos Guararapes;R$ 85.127,07;R$ 1.617.414,32;R$ 1.702.541,39
Selecionada pelo gestor da aplicação;3573.2.1802/2019;Qualificação Viária;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Qualificação Viária do Prefeitura Municipal de Curitiba;R$ 450.000,00;R$ 8.550.000,00;R$ 9.000.000,00
Enquadrada pelo Gestor da Aplicação;4121.2.1812/2019;Qualificação Viária;MG;Belo Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Belo Horizonte;Qualificação Viária do Prefeitura Municipal de Belo Horizonte;R$ 4.211.250,00;R$ 80.013.750,00;R$ 84.225.000,00
Pré-selecionada pelo Gestor da Aplicação;4079.5.0209/2019;Plano de Mobilidade Urbana;BA;Vitória da Conquista;Caixa Econômica Federal;Prefeitura Municipal de Vitória da Conquista;Plano de Mobilidade Urbana do Prefeitura Municipal de Vitória da Conquista;R$ 252.797,45;R$ 4.803.151,38;R$ 5.055.948,83
Selecionada pelo gestor da aplicação;1053.234.1311/2017;Qualificação Viária;MG;Contagem;Caixa Econômica Federal;Prefeitura Municipal de Contagem;Qualificação Viária do Prefeitura Municipal de Contagem;R$ 48.216.316,19;R$ 100.000.000,00;R$ 148.216.316,19
Devolvida ao Proponente;4010.2.1405/2019;Qualificação Viária;RJ;Volta Redonda;Caixa Econômica Federal;Prefeitura Municipal de Volta Redonda;Qualificação Viária do Prefeitura Municipal de Volta Redonda;R$ 2.500.000,00;R$ 47.500.000,00;R$ 50.000.000,00
Enquadrada pelo Gestor da Aplicação;3520.4.1906/2018;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 116.250,00;R$ 2.208.750,00;R$ 2.325.000,00
Selecionada pelo gestor da aplicação;1627.2.2702/2018;Qualificação Viária;PE;Petrolina;Caixa Econômica Federal;Prefeitura Municipal de Petrolina;Qualificação Viária do Prefeitura Municipal de Petrolina;R$ 880.821,82;R$ 16.735.614,57;R$ 17.616.436,39
Enquadrada pelo Gestor da Aplicação;3211.245.1004/2018;Qualificação Viária;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Qualificação Viária do Prefeitura Municipal de São José dos Pinhais;R$ 1.735.657,46;R$ 32.977.491,71;R$ 34.713.149,17
Enquadrada pelo Gestor da Aplicação;3319.4.0405/2018;Estudos e Projetos;BA;Salvador;Caixa Econômica Federal;Prefeitura Municipal de Salvador;Estudos e Projetos do Prefeitura Municipal de Salvador;R$ 255.000,00;R$ 4.845.000,00;R$ 5.100.000,00
Enquadrada pelo Gestor da Aplicação;1590.2.2501/2018;Qualificação Viária;PA;Belém;Caixa Econômica Federal;Prefeitura Municipal de Belém;Qualificação Viária do Prefeitura Municipal de Belém;R$ 2.042.219,22;R$ 38.802.165,10;R$ 40.844.384,32
Selecionada pelo gestor da aplicação;4007.2.1405/2019;Qualificação Viária;MS;Campo Grande;Caixa Econômica Federal;Prefeitura Municipal de Campo Grande;Qualificação Viária do Prefeitura Municipal de Campo Grande;R$ 3.925.399,25;R$ 74.582.585,64;R$ 78.507.984,89
Enquadrada pelo Gestor da Aplicação;1533.5.1101/2018;Plano de Mobilidade Urbana;MG;Uberaba;Caixa Econômica Federal;Prefeitura Municipal de Uberaba;Plano de Mobilidade Urbana do Prefeitura Municipal de Uberaba;R$ 148.344,50;R$ 2.818.545,50;R$ 2.966.890,00
Enquadrada pelo Gestor da Aplicação;4110.3.1411/2019;Transporte Não Motorizado;MA;São Luís;Caixa Econômica Federal;Prefeitura Municipal de São Luís;Transporte Não Motorizado do Prefeitura Municipal de São Luís;R$ 750.599,96;R$ 14.261.399,12;R$ 15.011.999,08
Selecionada pelo gestor da aplicação;2992.5.0805/2018;Plano de Mobilidade Urbana;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Plano de Mobilidade Urbana do Prefeitura Municipal de Porto Alegre;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Enquadrada pelo Gestor da Aplicação;4108.5.0511/2019;Plano de Mobilidade Urbana;MT;Cuiabá;Caixa Econômica Federal;Prefeitura Municipal de Cuiabá;Plano de Mobilidade Urbana do Prefeitura Municipal de Cuiabá;R$ 154.776,47;R$ 2.940.752,80;R$ 3.095.529,27
Selecionada pelo gestor da aplicação;1611.3.3001/2018;Transporte Não Motorizado;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Transporte Não Motorizado do Prefeitura Municipal de Porto Alegre;R$ 297.750,89;R$ 5.657.266,84;R$ 5.955.017,73
Selecionada pelo gestor da aplicação;1464.4.2912/2017;Estudos e Projetos;RS;Santa Maria;Caixa Econômica Federal;Prefeitura Municipal de Santa Maria;Estudos e Projetos do Prefeitura Municipal de Santa Maria;R$ 62.500,00;R$ 1.187.500,00;R$ 1.250.000,00
Enquadrada pelo Gestor da Aplicação;3356.5.2905/2018;Plano de Mobilidade Urbana;RJ;Petrópolis;Caixa Econômica Federal;Prefeitura Municipal de Petrópolis;Plano de Mobilidade Urbana do Prefeitura Municipal de Petrópolis;R$ 54.625,00;R$ 1.037.875,00;R$ 1.092.500,00
Enquadrada pelo Gestor da Aplicação;3312.5.0705/2018;Plano de Mobilidade Urbana;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Plano de Mobilidade Urbana do Prefeitura Municipal de São José dos Pinhais;R$ 150.000,00;R$ 2.850.000,00;R$ 3.000.000,00
Selecionada pelo gestor da aplicação;3182.4.2205/2018;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 64.000,00;R$ 1.216.000,00;R$ 1.280.000,00
Enquadrada pelo Gestor da Aplicação;4077.4.0111/2019;Estudos e Projetos;CE;;Caixa Econômica Federal;GOVERNO DO ESTADO DO CEARA;Estudos e Projetos do GOVERNO DO ESTADO DO CEARA;R$ 341.766,75;R$ 6.493.568,22;R$ 6.835.334,97
Selecionada pelo gestor da aplicação;3796.2.1311/2018;Qualificação Viária;SP;São Paulo;Caixa Econômica Federal;Prefeitura Municipal de São Paulo;Qualificação Viária do Prefeitura Municipal de São Paulo;R$ 10.526.000,00;R$ 199.994.000,00;R$ 210.520.000,00
Enquadrada pelo Gestor da Aplicação;3928.4.0702/2019;Estudos e Projetos;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Estudos e Projetos do Prefeitura Municipal de São José dos Pinhais;R$ 42.850,00;R$ 814.150,00;R$ 857.000,00
Enquadrada pelo Gestor da Aplicação;3177.3.1903/2018;Transporte Não Motorizado;PI;Teresina;Caixa Econômica Federal;Prefeitura Municipal de Teresina;Transporte Não Motorizado do Prefeitura Municipal de Teresina;R$ 1.524.243,25;R$ 28.960.621,55;R$ 30.484.864,80
Enquadrada pelo Gestor da Aplicação;4038.4.0107/2019;Estudos e Projetos;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Estudos e Projetos do Prefeitura Municipal de São José dos Pinhais;R$ 48.500,00;R$ 921.500,00;R$ 970.000,00
Enquadrada pelo Gestor da Aplicação;3843.24.2011/2018;Qualificação Viária;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Qualificação Viária do Prefeitura Municipal de Mogi das Cruzes;R$ 338.000,00;R$ 6.422.000,00;R$ 6.760.000,00
Enquadrada pelo Gestor da Aplicação;1620.4.3101/2018;Estudos e Projetos;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Estudos e Projetos do Prefeitura Municipal de Porto Alegre;R$ 36.000,00;R$ 684.000,00;R$ 720.000,00
Selecionada pelo gestor da aplicação;4138.2.1505/2020;Qualificação Viária;SP;São Bernardo do Campo;Caixa Econômica Federal;Prefeitura Municipal de São Bernardo do Campo;Qualificação Viária do Prefeitura Municipal de São Bernardo do Campo;R$ 12.753.060,94;R$ 100.000.000,00;R$ 112.753.060,94
Enquadrada pelo Gestor da Aplicação;3998.4.0305/2019;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 137.500,00;R$ 2.612.500,00;R$ 2.750.000,00
Selecionada pelo gestor da aplicação;1397.2.2212/2017;Qualificação Viária;ES;Serra;Caixa Econômica Federal;Prefeitura Municipal de Serra;Qualificação Viária do Prefeitura Municipal de Serra;R$ 2.445.245,79;R$ 46.459.669,95;R$ 48.904.915,74
Selecionada pelo gestor da aplicação;3484.4.1306/2018;Estudos e Projetos;PR;Curitiba;Caixa Econômica Federal;Prefeitura Municipal de Curitiba;Estudos e Projetos do Prefeitura Municipal de Curitiba;R$ 27.500,00;R$ 522.500,00;R$ 550.000,00
Enquadrada pelo Gestor da Aplicação;4006.5.0705/2019;Plano de Mobilidade Urbana;RJ;São João de Meriti;Caixa Econômica Federal;Prefeitura Municipal de São João de Meriti;Plano de Mobilidade Urbana do Prefeitura Municipal de São João de Meriti;R$ 26.800,00;R$ 509.200,00;R$ 536.000,00
Enquadrada pelo Gestor da Aplicação;1528.5.1101/2018;Plano de Mobilidade Urbana;PI;Teresina;Caixa Econômica Federal;Prefeitura Municipal de Teresina;Plano de Mobilidade Urbana do Prefeitura Municipal de Teresina;R$ 142.161,98;R$ 2.701.077,61;R$ 2.843.239,59
Não enquadrada pelo Gestor da Aplicação;3130.2.1004/2018;Qualificação Viária;PB;Campina Grande;Caixa Econômica Federal;Prefeitura Municipal de Campina Grande;Qualificação Viária do Prefeitura Municipal de Campina Grande;R$ 2.500.000,00;R$ 47.500.000,00;R$ 50.000.000,00
Enquadrada pelo Gestor da Aplicação;4144.2.0909/2020;Qualificação Viária;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Qualificação Viária do Prefeitura Municipal de Porto Alegre;R$ 2.041.176,47;R$ 38.782.352,94;R$ 40.823.529,41
Enquadrada pelo Gestor da Aplicação;3176.2.2303/2018;Qualificação Viária;MA;São Luís;Caixa Econômica Federal;Prefeitura Municipal de São Luís;Qualificação Viária do Prefeitura Municipal de São Luís;R$ 9.953.907,40;R$ 189.124.240,47;R$ 199.078.147,87
Enquadrada pelo Gestor da Aplicação;4039.2.2806/2019;Qualificação Viária;CE;Fortaleza;Caixa Econômica Federal;Prefeitura Municipal de Fortaleza;Qualificação Viária do Prefeitura Municipal de Fortaleza;R$ 3.000.000,00;R$ 57.000.000,00;R$ 60.000.000,00
Enquadrada pelo Gestor da Aplicação;3760.2.2109/2018;Qualificação Viária;BA;Salvador;Caixa Econômica Federal;Prefeitura Municipal de Salvador;Qualificação Viária do Prefeitura Municipal de Salvador;R$ 1.711.780,00;R$ 32.523.820,00;R$ 34.235.600,00
Enquadrada pelo Gestor da Aplicação;3739.4.1109/2018;Estudos e Projetos;PR;São José dos Pinhais;Caixa Econômica Federal;Prefeitura Municipal de São José dos Pinhais;Estudos e Projetos do Prefeitura Municipal de São José dos Pinhais;R$ 22.500,00;R$ 427.500,00;R$ 450.000,00
Enquadrada pelo Gestor da Aplicação;3855.4.2111/2018;Estudos e Projetos;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Estudos e Projetos do Prefeitura Municipal de Mogi das Cruzes;R$ 78.000,00;R$ 1.482.000,00;R$ 1.560.000,00
Selecionada pelo gestor da aplicação;3495.5.1107/2018;Plano de Mobilidade Urbana;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Plano de Mobilidade Urbana do Prefeitura Municipal de Cascavel;R$ 110.000,00;R$ 2.090.000,00;R$ 2.200.000,00
Devolvida ao Proponente;1603.2.2601/2018;Qualificação Viária;RS;Porto Alegre;Caixa Econômica Federal;Prefeitura Municipal de Porto Alegre;Qualificação Viária do Prefeitura Municipal de Porto Alegre;;R$ 77.836.816,48;
Devolvida ao Proponente;1389.2.2112/2017;Qualificação Viária;RS;Viamão;Caixa Econômica Federal;Prefeitura Municipal de Viamão;Qualificação Viária do Prefeitura Municipal de Viamão;R$ 1.780.000,00;R$ 33.336.987,63;R$ 35.116.987,63
Enquadrada pelo Gestor da Aplicação;1622.5.0602/2018;Plano de Mobilidade Urbana;RS;Gravataí;Caixa Econômica Federal;Prefeitura Municipal de Gravataí;Plano de Mobilidade Urbana do Prefeitura Municipal de Gravataí;R$ 40.000,00;R$ 760.000,00;R$ 800.000,00
Enquadrada pelo Gestor da Aplicação;1508.24.0901/2018;Qualificação Viária;PB;João Pessoa;Caixa Econômica Federal;Prefeitura Municipal de João Pessoa;Qualificação Viária do Prefeitura Municipal de João Pessoa;R$ 2.752.876,47;R$ 52.304.652,76;R$ 55.057.529,23
Selecionada pelo gestor da aplicação;3257.235.1505/2018;Qualificação Viária;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Qualificação Viária do Prefeitura Municipal de Cascavel;R$ 1.615.000,00;R$ 30.685.000,00;R$ 32.300.000,00
Selecionada pelo gestor da aplicação;3257.235.1505/2018;Qualificação Viária;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Qualificação Viária do Prefeitura Municipal de Cascavel;R$ 1.615.000,00;R$ 30.685.000,00;R$ 32.300.000,00
Selecionada pelo gestor da aplicação;3495.5.1107/2018;Plano de Mobilidade Urbana;PR;Cascavel;Caixa Econômica Federal;Prefeitura Municipal de Cascavel;Plano de Mobilidade Urbana do Prefeitura Municipal de Cascavel;R$ 110.000,00;R$ 2.090.000,00;R$ 2.200.000,00
Enquadrada pelo Gestor da Aplicação;3853.2.2111/2018;Qualificação Viária;SP;Mogi das Cruzes;Caixa Econômica Federal;Prefeitura Municipal de Mogi das Cruzes;Qualificação Viária do Prefeitura Municipal de Mogi das Cruzes;R$ 265.000,00;R$ 5.035.000,00;R$ 5.300.000,00
Selecionada pelo gestor da aplicação;3371.5.3005/2018;Plano de Mobilidade Urbana;ES;Serra;Caixa Econômica Federal;Prefeitura Municipal de Serra;Plano de Mobilidade Urbana do Prefeitura Municipal de Serra;R$ 179.754,22;R$ 3.415.330,04;R$ 3.595.084,26
Enquadrada pelo Gestor da Aplicação;4120.3.1812/2019;Transporte Não Motorizado;MG;Belo Horizonte;Caixa Econômica Federal;Prefeitura Municipal de Belo Horizonte;Transporte Não Motorizado do Prefeitura Municipal de Belo Horizonte;R$ 1.037.500,00;R$ 19.712.500,00;R$ 20.750.000,00
Não enquadrada pelo Gestor da Aplicação;4054.23.1007/2019;Qualificação Viária;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Qualificação Viária do Prefeitura Municipal de Limeira;R$ 359.078,71;R$ 6.822.495,40;R$ 7.181.574,11
Não enquadrada pelo Gestor da Aplicação;4109.4.0511/2019;Estudos e Projetos;MT;Cuiabá;Caixa Econômica Federal;Prefeitura Municipal de Cuiabá;Estudos e Projetos do Prefeitura Municipal de Cuiabá;R$ 42.469,36;R$ 806.917,64;R$ 849.387,00
Não enquadrada pelo Gestor da Aplicação;4055.23.1007/2019;Qualificação Viária;SP;Limeira;Caixa Econômica Federal;Prefeitura Municipal de Limeira;Qualificação Viária do Prefeitura Municipal de Limeira;R$ 264.373,62;R$ 5.023.098,63;R$ 5.287.472,25
Não enquadrada pelo Gestor da Aplicação;4127.5.3101/2020;Plano de Mobilidade Urbana;SP;Guarujá;Caixa Econômica Federal;Prefeitura Municipal de Guarujá;Plano de Mobilidade Urbana do Prefeitura Municipal de Guarujá;R$ 743.004,89;R$ 14.117.092,79;R$ 14.860.097,68
Não enquadrada pelo Gestor da Aplicação;1486.2.0401/2018;Qualificação Viária;RJ;Belford Roxo;Caixa Econômica Federal;Prefeitura Municipal de Belford Roxo;Qualificação Viária do Prefeitura Municipal de Belford Roxo;R$ 350.000,00;R$ 6.650.000,00;R$ 7.000.000,00
Em análise de enquadramento;1352.2.1912/2017;Qualificação Viária;BA;Maragogipe;Agência de Fomento do Estado da Bahia – Desenbahia;Prefeitura Municipal de Maragogipe;Qualificação Viária do Prefeitura Municipal de Maragogipe;R$ 310.525,07;R$ 5.899.976,23;R$ 6.210.501,30
Pré-selecionada pelo Gestor da Aplicação;1272.2.1112/2017;Qualificação Viária;SC;Apiúna;Caixa Econômica Federal;Prefeitura Municipal de Apiúna;Qualificação Viária do Prefeitura Municipal de Apiúna;R$ 249.999,95;R$ 4.749.998,91;R$ 4.999.998,86
Em análise de enquadramento;3146.24.1303/2018;Qualificação Viária;SP;Vargem Grande Paulista;Caixa Econômica Federal;Prefeitura Municipal de Vargem Grande Paulista;Qualificação Viária do Prefeitura Municipal de Vargem Grande Paulista;R$ 673.200,00;R$ 12.790.800,00;R$ 13.464.000,00
Devolvida ao Proponente;3889.2.2712/2018;Qualificação Viária;RJ;Silva Jardim;Caixa Econômica Federal;Prefeitura Municipal de Silva Jardim;Qualificação Viária do Prefeitura Municipal de Silva Jardim;R$ 581.876,19;R$ 11.055.647,58;R$ 11.637.523,77
Em análise de enquadramento;759.2.0510/2017;Qualificação Viária;RS;Três de Maio;Caixa Econômica Federal;Prefeitura Municipal de Três de Maio;Qualificação Viária do Prefeitura Municipal de Três de Maio;R$ 500.429,00;R$ 9.508.151,00;R$ 10.008.580,00
Pré-selecionada pelo Gestor da Aplicação;1153.2.2411/2017;Qualificação Viária;SC;Laurentino;Caixa Econômica Federal;Prefeitura Municipal de Laurentino;Qualificação Viária do Prefeitura Municipal de Laurentino;R$ 69.646,17;R$ 1.323.277,09;R$ 1.392.923,26
Pré-selecionada pelo Gestor da Aplicação;3325.2.1005/2018;Qualificação Viária;SP;Mongaguá;Agência de Desenvolvimento Paulista – Desenvolve SP;Prefeitura Municipal de Mongaguá;Qualificação Viária do Prefeitura Municipal de Mongaguá;R$ 793.983,11;R$ 15.000.000,00;R$ 15.793.983,11
Em análise de enquadramento;955.2.3110/2017;Qualificação Viária;RS;São Pedro do Butiá;Caixa Econômica Federal;Prefeitura Municipal de São Pedro do Butiá;Qualificação Viária do Prefeitura Municipal de São Pedro do Butiá;R$ 224.313,93;R$ 4.261.964,53;R$ 4.486.278,46
Em análise de enquadramento;1456.2.2912/2017;Qualificação Viária;CE;Aracati;Caixa Econômica Federal;Prefeitura Municipal de Aracati;Qualificação Viária do Prefeitura Municipal de Aracati;R$ 108.904,40;R$ 2.069.183,46;R$ 2.178.087,86
Pré-selecionada pelo Gestor da Aplicação;3431.24.0606/2018;Qualificação Viária;PI;Jacobina do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Jacobina do Piauí;Qualificação Viária do Prefeitura Municipal de Jacobina do Piauí;R$ 227.824,16;R$ 4.328.658,94;R$ 4.556.483,10
Em análise de enquadramento;1524.2.1001/2018;Qualificação Viária;PR;Chopinzinho;Caixa Econômica Federal;Prefeitura Municipal de Chopinzinho;Qualificação Viária do Prefeitura Municipal de Chopinzinho;R$ 126.780,82;R$ 2.408.835,55;R$ 2.535.616,37
Em análise de enquadramento;3290.2.2404/2018;Qualificação Viária;RS;Rio Pardo;Banco do Estado do Rio Grande do Sul – Banrisul;Prefeitura Municipal de Rio Pardo;Qualificação Viária do Prefeitura Municipal de Rio Pardo;R$ 553.370,48;R$ 10.514.039,12;R$ 11.067.409,60
Não enquadrada pelo Agente Financeiro;218.2.2308/2017;Qualificação Viária;SC;São João do Itaperiú;Caixa Econômica Federal;Prefeitura Municipal de São João do Itaperiú;Qualificação Viária do Prefeitura Municipal de São João do Itaperiú;R$ 250.000,00;R$ 4.749.999,99;R$ 4.999.999,99
Não enquadrada pelo Agente Financeiro;28.34.0208/2017;Transporte Não Motorizado;SE;Itaporanga d'Ajuda;Caixa Econômica Federal;Prefeitura Municipal de Itaporanga d'Ajuda;Transporte Não Motorizado do Prefeitura Municipal de Itaporanga d'Ajuda;R$ 258.600,00;R$ 4.913.400,00;R$ 5.172.000,00
Em análise de enquadramento;1293.2.1312/2017;Qualificação Viária;PR;Pranchita;Caixa Econômica Federal;Prefeitura Municipal de Pranchita;Qualificação Viária do Prefeitura Municipal de Pranchita;R$ 55.007,06;R$ 1.045.134,04;R$ 1.100.141,10
Pré-selecionada pelo Gestor da Aplicação;923.2.2610/2017;Qualificação Viária;RS;Liberato Salzano;Caixa Econômica Federal;Prefeitura Municipal de Liberato Salzano;Qualificação Viária do Prefeitura Municipal de Liberato Salzano;R$ 173.800,00;R$ 3.302.200,00;R$ 3.476.000,00
Em análise de enquadramento;1523.24.1001/2018;Qualificação Viária;BA;Mirangaba;Caixa Econômica Federal;Prefeitura Municipal de Mirangaba;Qualificação Viária do Prefeitura Municipal de Mirangaba;R$ 76.500,00;R$ 1.453.500,00;R$ 1.530.000,00
Devolvida ao Proponente;3148.2.0903/2018;Qualificação Viária;BA;Mucuri;Caixa Econômica Federal;Prefeitura Municipal de Mucuri;Qualificação Viária do Prefeitura Municipal de Mucuri;R$ 153.305,70;R$ 2.912.808,19;R$ 3.066.113,89
Pré-selecionada pelo Gestor da Aplicação;1558.2.1701/2018;Qualificação Viária;RS;Vale Real;Caixa Econômica Federal;MUNICÍPIO DE VALE REAL;Qualificação Viária do MUNICÍPIO DE VALE REAL;R$ 94.244,18;R$ 1.790.639,27;R$ 1.884.883,45
Devolvida ao Proponente;3313.2.0105/2018;Qualificação Viária;RS;Pouso Novo;Badesul Desenvolvimento S. A.;Prefeitura Municipal de Pouso Novo;Qualificação Viária do Prefeitura Municipal de Pouso Novo;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Pré-selecionada pelo Gestor da Aplicação;1283.3.1212/2017;Transporte Não Motorizado;SC;Treze Tílias;Caixa Econômica Federal;Prefeitura Municipal de Treze Tílias;Transporte Não Motorizado do Prefeitura Municipal de Treze Tílias;R$ 63.008,42;R$ 1.197.159,91;R$ 1.260.168,33
Em análise de enquadramento;1257.2.0812/2017;Qualificação Viária;PR;Verê;Caixa Econômica Federal;Prefeitura Municipal de Verê;Qualificação Viária do Prefeitura Municipal de Verê;R$ 65.000,00;R$ 1.235.000,00;R$ 1.300.000,00
Em análise de enquadramento;1280.2.1112/2017;Qualificação Viária;CE;Pacatuba;Caixa Econômica Federal;Prefeitura Municipal de Pacatuba;Qualificação Viária do Prefeitura Municipal de Pacatuba;R$ 244.146,61;R$ 4.638.785,45;R$ 4.882.932,06
Não enquadrada pelo Agente Financeiro;1034.3.1011/2017;Transporte Não Motorizado;SC;Canoinhas;Caixa Econômica Federal;Prefeitura Municipal de Canoinhas;Transporte Não Motorizado do Prefeitura Municipal de Canoinhas;R$ 234.244,38;R$ 4.450.643,12;R$ 4.684.887,50
Em análise de enquadramento;174.34.2108/2017;Transporte Não Motorizado;PR;Pato Branco;Caixa Econômica Federal;Prefeitura Municipal de Pato Branco;Transporte Não Motorizado do Prefeitura Municipal de Pato Branco;R$ 275.000,00;R$ 5.225.000,00;R$ 5.500.000,00
Pré-selecionada pelo Gestor da Aplicação;1085.24.1611/2017;Qualificação Viária;MS;Nova Andradina;Caixa Econômica Federal;Prefeitura Municipal de Nova Andradina;Qualificação Viária do Prefeitura Municipal de Nova Andradina;R$ 495.205,50;R$ 9.408.904,50;R$ 9.904.110,00
Não enquadrada pelo Agente Financeiro;221.2.2408/2017;Qualificação Viária;BA;Quijingue;Caixa Econômica Federal;Prefeitura Municipal de Quijingue;Qualificação Viária do Prefeitura Municipal de Quijingue;R$ 60.000,00;R$ 1.140.000,00;R$ 1.200.000,00
Pré-selecionada pelo Gestor da Aplicação;1114.2.2011/2017;Qualificação Viária;RS;Pinhal da Serra;Caixa Econômica Federal;Prefeitura Municipal de Pinhal da Serra;Qualificação Viária do Prefeitura Municipal de Pinhal da Serra;R$ 93.600,00;R$ 1.778.400,00;R$ 1.872.000,00
Não enquadrada pelo Agente Financeiro;1178.2.2811/2017;Qualificação Viária;PR;Nova Aliança do Ivaí;Caixa Econômica Federal;Prefeitura Municipal de Nova Aliança do Ivaí;Qualificação Viária do Prefeitura Municipal de Nova Aliança do Ivaí;R$ 30.000,00;R$ 570.000,00;R$ 600.000,00
Não enquadrada pelo Agente Financeiro;1573.2.1901/2018;Qualificação Viária;SP;São Lourenço da Serra;Caixa Econômica Federal;Prefeitura Municipal de São Lourenço da Serra;Qualificação Viária do Prefeitura Municipal de São Lourenço da Serra;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Em análise de enquadramento;1611.3.1602/2018;Transporte Não Motorizado;PR;Cafelândia;Caixa Econômica Federal;Prefeitura Municipal de Cafelândia;Transporte Não Motorizado do Prefeitura Municipal de Cafelândia;R$ 48.750,00;R$ 926.250,00;R$ 975.000,00
Pré-selecionada pelo Gestor da Aplicação;1126.2.2111/2017;Qualificação Viária;RS;Três de Maio;Caixa Econômica Federal;Prefeitura Municipal de Três de Maio;Qualificação Viária do Prefeitura Municipal de Três de Maio;R$ 500.429,00;R$ 9.508.151,00;R$ 10.008.580,00
Pré-selecionada pelo Gestor da Aplicação;1407.2.2512/2017;Qualificação Viária;RS;Lindolfo Collor;Caixa Econômica Federal;Prefeitura Municipal de Lindolfo Collor;Qualificação Viária do Prefeitura Municipal de Lindolfo Collor;R$ 120.000,00;R$ 2.266.960,09;R$ 2.386.960,09
Em análise de enquadramento;700.2.2909/2017;Qualificação Viária;RS;Trindade do Sul;Caixa Econômica Federal;Prefeitura Municipal de Trindade do Sul;Qualificação Viária do Prefeitura Municipal de Trindade do Sul;R$ 240.332,46;R$ 4.566.316,60;R$ 4.806.649,06
Não enquadrada pelo Agente Financeiro;385.2.2808/2017;Qualificação Viária;RS;Arroio do Meio;Caixa Econômica Federal;Prefeitura Municipal de Arroio do Meio;Qualificação Viária do Prefeitura Municipal de Arroio do Meio;R$ 61.618,74;R$ 1.170.755,86;R$ 1.232.374,60
